DATE,NUM_SEVERE,NUM_DAILY_SEVERE,MA7_NUM_SEVERE,MA7_NUM_DAILY_SEVERE,NUM_SEVERE_per_100kpop,NUM_DAILY_SEVERE_per_100kpop,MA7_NUM_SEVERE_per_100kpop,MA7_NUM_DAILY_SEVERE_per_100kpop,REGION_L,REGION_S,REGION_PSGC
2020-08-30,366.0,3.0,360.0,1.0,2.6099134139333695,0.021392732901093194,2.567127948131183,0.00713091096703109,Metropolitan Manila,NCR,PH130000000
2020-08-31,365.0,-1.0,361.2857142857143,1.2857142857142856,2.6027825029663387,-0.0071309109670310645,2.5762962622316516,0.009168314100468537,Metropolitan Manila,NCR,PH130000000
2020-09-01,364.0,-1.0,362.0,0.7142857142857142,2.5956515919993075,-0.0071309109670310645,2.581389770065245,0.0050935078335936435,Metropolitan Manila,NCR,PH130000000
2020-09-02,372.0,8.0,365.0,3.0,2.652698879735556,0.057047287736248516,2.6027825029663383,0.021392732901093215,Metropolitan Manila,NCR,PH130000000
2020-09-03,384.0,12.0,368.57142857142856,3.571428571428571,2.738269811339929,0.08557093160437278,2.6282500421343062,0.02546753916796811,Metropolitan Manila,NCR,PH130000000
2020-09-04,380.0,-4.0,370.57142857142856,2.0,2.7097461674718044,-0.028523643868124258,2.6425118640683687,0.014261821934062151,Metropolitan Manila,NCR,PH130000000
2020-09-05,384.0,4.0,373.57142857142856,3.0,2.738269811339929,0.028523643868124258,2.6639045969694624,0.021392732901093215,Metropolitan Manila,NCR,PH130000000
2020-09-06,385.0,1.0,376.2857142857143,2.714285714285714,2.7454007223069596,0.0071309109670310645,2.683259926737118,0.019355329767655766,Metropolitan Manila,NCR,PH130000000
2020-09-07,388.0,3.0,379.57142857142856,3.2857142857142856,2.766793455208053,0.021392732901093194,2.706690062771649,0.02343013603453066,Metropolitan Manila,NCR,PH130000000
2020-09-08,383.0,-5.0,382.2857142857143,2.714285714285714,2.7311389003728976,-0.035654554835155325,2.7260453925393047,0.019355329767655766,Metropolitan Manila,NCR,PH130000000
2020-09-09,385.0,2.0,384.1428571428571,1.857142857142857,2.7454007223069596,0.014261821934062129,2.739288512906648,0.013243120367343425,Metropolitan Manila,NCR,PH130000000
2020-09-10,385.0,0.0,384.2857142857143,0.14285714285714285,2.7454007223069596,0.0,2.7403072144733667,0.001018701566718744,Metropolitan Manila,NCR,PH130000000
2020-09-11,381.0,-4.0,384.4285714285714,0.14285714285714285,2.7168770784388356,-0.028523643868124258,2.741325916040086,0.001018701566718744,Metropolitan Manila,NCR,PH130000000
2020-09-12,382.0,1.0,384.1428571428571,-0.2857142857142857,2.7240079894058664,0.0071309109670310645,2.739288512906648,-0.002037403133437426,Metropolitan Manila,NCR,PH130000000
2020-09-13,377.0,-5.0,383.0,-1.1428571428571428,2.688353434570711,-0.035654554835155325,2.731138900372898,-0.008149612533749767,Metropolitan Manila,NCR,PH130000000
2020-09-14,376.0,-1.0,381.2857142857143,-1.7142857142857142,2.6812225236036804,-0.0071309109670310645,2.7189144815722734,-0.01222441880062466,Metropolitan Manila,NCR,PH130000000
2020-09-15,380.0,4.0,380.85714285714283,-0.42857142857142855,2.7097461674718044,0.028523643868124258,2.715858376872117,-0.0030561047001561492,Metropolitan Manila,NCR,PH130000000
2020-09-16,376.0,-4.0,379.57142857142856,-1.2857142857142856,2.6812225236036804,-0.028523643868124258,2.706690062771649,-0.00916831410046849,Metropolitan Manila,NCR,PH130000000
2020-09-17,375.0,-1.0,378.1428571428571,-1.4285714285714284,2.674091612636649,-0.0071309109670310645,2.6965030471044615,-0.010187015667187214,Metropolitan Manila,NCR,PH130000000
2020-09-18,380.0,5.0,378.0,-0.14285714285714285,2.7097461674718044,0.035654554835155325,2.695484345537743,-0.0010187015667187025,Metropolitan Manila,NCR,PH130000000
2020-09-19,384.0,4.0,378.2857142857143,0.2857142857142857,2.738269811339929,0.028523643868124258,2.69752174867118,0.002037403133437468,Metropolitan Manila,NCR,PH130000000
2020-09-20,380.0,-4.0,378.71428571428567,0.42857142857142855,2.7097461674718044,-0.028523643868124258,2.7005778533713363,0.0030561047001561917,Metropolitan Manila,NCR,PH130000000
